#STEM=missing_fw_configs
#VERSION=v20260715
#SOURCE=fw-inv-3-26.csv (748 devices) cross-referenced against fw_config_manifest_v20260715.csv (940 files / 703-device estate)
#ROWS=292
#NOTE=Matching is hostname-based (exact + substring, domain-suffix stripped). Devices with blank hostname in inventory were skipped, not counted as missing.
hostname,ip,vendor,model,tenant,category,status,decommission_status,manager,gap_reason
azhub002-vmss_15,10.155.172.17,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub002-vmss_16,10.155.172.13,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub003-vmss_5,10.155.172.14,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub003-vmss_6,10.155.172.16,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub003-vmss_7,10.155.172.7,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,FALSE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub003-vmss_8,10.155.172.9,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub012-ingress-usc-vmss_3,10.229.134.68,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,FALSE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub012-ingress-usc-vmss_4,10.229.134.70,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,FALSE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub012-ingress-usc-vmss_5,10.229.134.72,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub012-ingress-usc-vmss_6,10.229.134.74,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,FALSE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub013-egress-usc-vmss_0,10.229.134.196,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub013-egress-usc-vmss_1,10.229.134.198,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub013-egress-usc-vmss_2,10.229.134.200,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub013-egress-usc-vmss_3,10.229.134.202,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub014-ingress-use2-vmss_10,10.229.6.74,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub014-ingress-use2-vmss_7,10.229.6.68,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,FALSE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub014-ingress-use2-vmss_8,10.229.6.70,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub014-ingress-use2-vmss_9,10.229.6.72,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
