#STEM=missing_fw_configs
#VERSION=v20260715
#SOURCE=fw-inv-3-26.csv (748 devices) cross-referenced against fw_config_manifest_v20260715.csv (940 files / 703-device estate)
#ROWS=292
#NOTE=Matching is hostname-based (exact + substring, domain-suffix stripped). Devices with blank hostname in inventory were skipped, not counted as missing.
hostname,ip,vendor,model,tenant,category,status,decommission_status,manager,gap_reason
egcuse4palopoc-01-vm,10.143.50.23,palo_alto,PA-VM,pano,Virtual,yes,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
egcuse4palopoc-02-vm,10.143.50.12,palo_alto,PA-VM,pano,Virtual,yes,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
egcuse4palopoc-03-vm,10.143.50.26,palo_alto,PA-VM,pano,Virtual,yes,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
egcusw2nonprd-ingress-2-0-vm-01,10.243.32.34,palo_alto,PA-VM,pano,Virtual,yes,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
egcusw2nonprd-ingress-2-0-vm-03,10.243.32.36,palo_alto,PA-VM,pano,Virtual,yes,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
egcusw2nonprd-ingress-2-0-vm-04,10.243.32.37,palo_alto,PA-VM,pano,Virtual,yes,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
epsfire1,10.106.96.11:443,cisco,,HCB,Physical,UNREACHABLE,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
lgs1501-01b-0104-usr-pa-fw01,10.20.10.53,palo_alto,PA-5445,pano,Physical,yes,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
lgs1501-01b-0105-ext-pa-fw01,10.20.10.35,palo_alto,PA-5445,pano,Physical,yes,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
lgs1502-10c-0104-usr-pa-fw02,10.20.10.54,palo_alto,PA-5445,pano,Physical,yes,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
lgs1502-10c-0105-ext-pa-fw02,10.20.10.36,palo_alto,PA-5445,pano,Physical,yes,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
mid-fw-pciqa-1,172.19.104.145,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,mid-fmc-pci-1.aetna.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
mid-fw-pciqa-2,172.19.104.146,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,mid-fmc-pci-1.aetna.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
mid-fw-pciqa-web-1,172.19.104.147,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,mid-fmc-pci-1.aetna.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
mid-fw-perfdmz-1,172.19.104.141,cisco,Cisco Firepower 4145 Threat Defense,QA,Physical,TRUE,,mid-fmc-nonprod-1.aetna.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
mid-fw-perfdmz-2,172.19.104.142,cisco,Cisco Firepower 4145 Threat Defense,QA,Physical,TRUE,,mid-fmc-nonprod-1.aetna.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
mid-fw-proxy-1,172.19.104.155,cisco,Cisco Firepower 4145 Threat Defense,Prod,Physical,TRUE,,mid-fmc-prod-1.aetna.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
mid-fw-proxy-2,172.19.104.156,cisco,Cisco Firepower 4145 Threat Defense,Prod,Physical,TRUE,,mid-fmc-prod-1.aetna.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
pazphccsecintmat-1,10.125.248.236:443,cisco,ASA5516 (V04),PBM,Physical,UNREACHABLE,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
pazphccsecintmat-2,10.125.248.236:443,cisco,ASA5516 (V04),PBM,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
pazshdcsecextrs-1/SIP,10.231.124.6:443,cisco,,PBM,Physical,BAD_CREDENTIALS,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
pazshlbsecintsema-1-FO,10.218.26.141,Cisco,ASA5555,CVS,Physical,,,Unmanaged,"ON-PREM — genuine config-collection gap, no naming-variant match found"
pazshlbsecintsema-1.cvs.com,10.218.26.140,Cisco,ASA5555,CVS,Physical,,,Unmanaged,"ON-PREM — genuine config-collection gap, no naming-variant match found"
pmnedpvsecintmdf-1,10.37.255.10:443,cisco,,PBM,Physical,BAD_CREDENTIALS,Checking in team meeting,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
rfloromsecintmat-1,10.235.139.4:443,cisco,,PBM,Physical,UNREACHABLE,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
rriwscpsecintdcom-1-DR,10.10.107.249:443,cisco,,PBM,Physical,BAD_CREDENTIALS,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
rriwscpsecintdcom-1-DR,10.10.107.249:443,cisco,,Retail,Physical,BAD_CREDENTIALS,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
win-fw-ironman-2,172.28.104.20,cisco,Cisco Firepower 2130 Threat Defense,Prod,Physical,TRUE,,mid-fmc-prod-1.aetna.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
win-fw-pcidevweb-1,172.28.104.146,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,mid-fmc-pci-1.aetna.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
win-fw-pcidevweb-2,172.28.104.147,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,mid-fmc-pci-1.aetna.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXTWIR-01,10.123.254.8,cisco,Cisco Firepower 9000 Series SM-56 Threat Defense,PSS/PBM Prod,Physical,FALSE,2025,pazshdc-sec-int-prd-mgt-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2025 — verify still needed before chasing
PAZSHDC-SEC-EXTWIR-02,10.123.254.9,cisco,Cisco Firepower 9000 Series SM-56 Threat Defense,PSS/PBM Prod,Physical,FALSE,2025,pazshdc-sec-int-prd-mgt-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2025 — verify still needed before chasing
PAZSHDC-SEC-EXT-NET4WIR-02,10.10.109.182:443,cisco,ASA5585-SSP-60,PBM,Physical,Primary - Standby Ready,2026,cdo,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
PAZSHDC-SEC-EXTATG-01,10.10.123.57,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,2026,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
PAZSHDC-SEC-EXTATG-02,10.10.123.58,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,2026,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
PAZSHDC-SEC-INTATG-01,10.10.123.53,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,2026,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
PAZSHDC-SEC-INTATG-02,10.10.123.54,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,2026,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
PTXDADC-SEC-CLDEQ-01,10.223.255.187,cisco,Cisco Firepower 9000 Series SM-56 Threat Defense,PCI Cloud,Physical,TRUE,2026,rriwsdcseccldfmc-02.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
PTXDADC-SEC-CLDEQ-02,10.223.255.190,cisco,Cisco Firepower 9000 Series SM-56 Threat Defense,PCI Cloud,Physical,TRUE,2026,rriwsdcseccldfmc-02.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
RRICMCP-SEC-INTATG-01,10.18.243.195,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,2026,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
RRIWSCP-SEC-EXTDCOMPT-FTD-01,10.18.243.207,cisco,Cisco Firepower 4120 Threat Defense,Dev,Physical,TRUE,2026,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
RRIWSCP-SEC-EXTDCOMPT-FTD-02,10.18.243.208,cisco,Cisco Firepower 4120 Threat Defense,Dev,Physical,TRUE,2026,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
RRIWSCP-SEC-INTDCOM-DR-01,10.123.254.220,cisco,Cisco Firepower 4145 Threat Defense,PSS/PBM Prod,Physical,TRUE,2026,pazshdc-sec-int-prd-mgt-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
RRIWSCP-SEC-INTDCOM-DR-02,10.123.254.221,cisco,Cisco Firepower 4145 Threat Defense,PSS/PBM Prod,Physical,TRUE,2026,pazshdc-sec-int-prd-mgt-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
RRIWSCP-SEC-INTDCOMPT-FTD-01,10.18.243.205,cisco,Cisco Firepower 4120 Threat Defense,Dev,Physical,TRUE,2026,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
RRIWSCP-SEC-INTDCOMPT-FTD-02,10.18.243.206,cisco,Cisco Firepower 4120 Threat Defense,Dev,Physical,TRUE,2026,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
RVAASCP-SEC-CLDEQ-02,10.223.255.174,cisco,Cisco Firepower 9000 Series SM-56 Threat Defense,PCI Cloud,Physical,TRUE,2026,rriwsdcseccldfmc-02.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
WON-SEC-INNO-LAB-01,10.17.43.254:443,cisco,ASA5516 (V05),Retail,Physical,NEW_CERT_DETECTED,2026,cdo,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
egcuse4nonprd2-0-vm-01,10.243.1.185,palo_alto,PA-VM,pano,Virtual,yes,2026,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
egcuse4nonprd2-0-vm-03,10.243.1.187,palo_alto,PA-VM,pano,Virtual,yes,2026,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
egcuse4nonprd2-0-vm-04,10.243.1.182,palo_alto,PA-VM,pano,Virtual,yes,2026,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
egcusw2nonprd2-0-vm-01,10.243.33.182,palo_alto,PA-VM,pano,Virtual,yes,2026,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
egcusw2nonprd2-0-vm-03,10.243.33.184,palo_alto,PA-VM,pano,Virtual,yes,2026,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
egcusw2nonprd2-0-vm-04,10.243.33.185,palo_alto,PA-VM,pano,Virtual,yes,2026,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
mid-fw-daas.aetna.com,167.69.234.32,Cisco,ASA5525,HCB,Physical,,2026,Unmanaged,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
mid-fw-daas.aetna.com-FO,167.69.234.33,Cisco,ASA5525,HCB,Physical,,2026,Unmanaged,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
pazshdcsecextrs-1-RSIA,10.231.123.5,Cisco,ASA5585,CVS,Physical,,2026,Unmanaged,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
pazshdcsecextrs-1-RSIA-fo,10.231.123.6,Cisco,ASA5585,CVS,Physical,,2026,Unmanaged,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
win-fw-daas.aetna.com,167.69.234.160,Cisco,ASA5525,HCB,Physical,,2026,Unmanaged,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
win-fw-daas.aetna.com-fo,167.69.234.161,Cisco,ASA5525,HCB,Physical,,2026,Unmanaged,SCHEDULED DECOMMISSION 2026 — verify still needed before chasing
